ID;Datum;Temperatur;Luftfeuchtigkeit;Arbeiter;Sensor1;Sensor2;Sensor3;Sensor4;Sensor5;Sensor6;Sensor7;Sensor8;Sensor9;Sensor10;Sensor11;Sensor12;Sensor13;Sensor14;Sensor15;Zeit seit letztem Ausfall (Stunden);Ausfall
70;03.01.2020 21:00;68;75;Arbeiter8;1645;0;0;1748;1578;737;1074;1715;1366;834;1451;1672;1315;727;1680;159;Nein
71;03.01.2020 22:00;64;83;Arbeiter8;1459;1;0;649;1289;1017;245;726;1083;1638;937;1585;1985;960;933;160;Nein
72;03.01.2020 23:00;61;78;Arbeiter8;618;2;1;745;381;1606;995;304;1957;243;1870;1303;972;262;272;161;Nein
73;04.01.2020 00:00;66;83;Arbeiter1;874;3;1;1434;1635;626;1447;248;291;1323;1097;231;157;1322;803;162;Nein
74;04.01.2020 01:00;64;84;Arbeiter1;1499;3;0;1241;1693;1662;231;885;1131;1515;361;1961;444;269;930;163;Nein
75;04.01.2020 02:00;61;75;Arbeiter1;1160;1;1;440;1457;1749;294;1062;1263;1816;919;1709;812;1288;1157;164;Nein
76;04.01.2020 03:00;62;77;Arbeiter1;208;2;0;534;1021;772;1616;204;1321;1251;440;950;1754;624;669;165;Nein
77;04.01.2020 04:00;61;82;Arbeiter1;1306;0;1;804;1260;319;1860;1140;721;790;751;1345;1831;1063;891;166;Nein
78;04.01.2020 05:00;66;82;Arbeiter1;264;0;1;1645;599;1187;708;288;1045;1120;667;1064;553;1118;1697;167;Nein
79;04.01.2020 06:00;63;81;Arbeiter1;1281;3;1;997;2006;887;1537;1782;499;565;1990;1949;1522;489;591;168;Nein
80;04.01.2020 07:00;66;76;Arbeiter1;786;3;2;410;612;361;351;1895;278;219;1174;1589;594;661;299;169;Nein
81;04.01.2020 08:00;64;78;Arbeiter3;345;2;0;1522;1060;1216;708;1225;1137;1809;1974;990;626;303;1856;170;Nein
82;04.01.2020 09:00;65;76;Arbeiter3;1331;2;0;1379;1859;1178;680;1701;953;547;1379;302;379;1444;1583;171;Nein
83;04.01.2020 10:00;66;79;Arbeiter3;312;3;1;304;1707;791;492;1905;1251;1031;835;1647;1810;1036;1576;172;Nein
84;04.01.2020 11:00;67;78;Arbeiter3;1156;1;0;734;1010;1029;1610;1129;866;1229;772;917;891;463;1170;173;Nein
85;04.01.2020 12:00;64;84;Arbeiter3;689;0;0;1734;220;1996;1225;1814;1062;863;236;1364;914;1572;939;174;Nein
86;04.01.2020 13:00;67;75;Arbeiter3;1273;3;2;508;976;575;492;872;899;831;1157;1934;863;768;1165;175;Nein
87;04.01.2020 14:00;64;76;Arbeiter3;1107;1;1;1213;673;925;194;1449;1308;1296;402;1014;1968;1565;935;176;Nein
88;04.01.2020 15:00;63;82;Arbeiter3;756;1;2;599;1003;1431;662;636;784;1291;920;329;1449;810;157;177;Nein
89;04.01.2020 16:00;65;80;Arbeiter5;326;2;0;930;507;763;1305;1309;1384;1675;835;1701;722;1564;1609;178;Nein
90;04.01.2020 17:00;68;85;Arbeiter5;436;1;2;1348;1816;694;855;1162;1150;1508;1563;1713;1544;244;1120;179;Nein
91;04.01.2020 18:00;64;84;Arbeiter5;1683;2;0;990;1905;806;1601;996;1950;1402;725;160;792;1327;716;180;Nein
92;04.01.2020 19:00;61;76;Arbeiter5;1878;2;2;295;1544;419;791;1566;1826;332;1563;282;1744;1965;238;181;Nein
93;04.01.2020 20:00;65;81;Arbeiter5;1348;3;1;666;1717;1748;2007;1692;1259;369;1405;796;1115;1743;1627;182;Nein
94;04.01.2020 21:00;62;76;Arbeiter5;771;3;2;887;747;530;385;561;334;239;1558;186;1904;423;666;183;Nein
95;04.01.2020 22:00;61;78;Arbeiter5;890;0;2;1707;1646;1527;1882;1571;1491;1859;376;1460;493;984;1351;184;Nein
96;04.01.2020 23:00;65;78;Arbeiter5;459;1;0;1044;1321;1383;1735;793;601;243;1143;1369;1359;683;817;185;Nein
97;05.01.2020 00:00;60;83;Arbeiter2;1742;3;2;579;1139;1263;1425;369;808;1901;1931;315;1733;931;1969;186;Nein
98;05.01.2020 01:00;66;83;Arbeiter2;1922;2;1;1260;1485;621;1125;420;1603;569;1391;1267;649;507;396;187;Nein
99;05.01.2020 02:00;64;79;Arbeiter2;1735;3;0;568;1116;1374;1007;366;1532;1463;1793;603;1405;1640;1969;188;Nein
100;05.01.2020 03:00;67;75;Arbeiter2;1335;1;2;1151;1544;646;1844;1504;1456;581;1998;1048;1730;192;1594;189;Nein
101;05.01.2020 04:00;66;80;Arbeiter2;1365;2;0;804;1838;1933;747;1285;1532;1611;1948;331;1801;1145;1025;190;Nein
102;05.01.2020 05:00;64;80;Arbeiter2;898;0;2;1221;704;1515;486;1994;951;1797;1646;921;331;555;1094;191;Nein
103;05.01.2020 06:00;66;81;Arbeiter2;1637;2;0;530;1336;1937;1632;1010;183;1139;1988;1881;1780;1993;1857;192;Nein
104;05.01.2020 07:00;62;85;Arbeiter2;991;2;1;1255;1993;374;1395;1355;996;868;844;1326;285;991;1618;193;Nein
105;05.01.2020 08:00;61;80;Arbeiter4;1782;2;2;1534;1206;1122;1477;1269;1290;1836;1356;766;1699;223;1904;194;Nein
106;05.01.2020 09:00;61;77;Arbeiter4;1452;0;0;1477;1329;1583;1330;675;306;1455;1900;1268;715;1999;1736;195;Nein
107;05.01.2020 10:00;66;78;Arbeiter4;1027;0;2;158;334;1294;1760;1859;650;440;1915;995;730;611;258;196;Nein
108;05.01.2020 11:00;67;83;Arbeiter4;1860;2;2;1678;1025;2010;307;700;1867;1269;1838;1242;1817;873;422;197;Nein
109;05.01.2020 12:00;60;78;Arbeiter4;317;3;2;1781;1923;668;1159;156;1322;810;1029;631;1175;1806;551;198;Nein
110;05.01.2020 13:00;67;80;Arbeiter4;1905;1;1;232;172;392;727;325;1000;1509;1841;1336;650;250;407;199;Nein
111;05.01.2020 14:00;66;76;Arbeiter4;1686;1;0;1313;1680;1900;321;1047;1603;1796;1189;1986;1835;1737;477;200;Nein
112;05.01.2020 15:00;63;76;Arbeiter4;848;0;1;1302;1107;243;1050;1635;1133;361;1407;1081;657;241;576;201;Nein
113;05.01.2020 16:00;66;78;Arbeiter6;571;2;0;1047;1309;1130;1394;383;415;904;1384;1585;1955;1904;423;202;Nein
114;05.01.2020 17:00;62;82;Arbeiter6;696;3;2;1381;1459;1568;426;1475;389;200;1413;1140;1811;433;602;203;Nein
115;05.01.2020 18:00;61;83;Arbeiter6;1951;3;2;1347;560;732;1732;1315;833;1546;511;1562;1133;528;1527;204;Nein
116;05.01.2020 19:00;60;75;Arbeiter6;706;0;1;774;904;1748;1043;1309;833;1907;1173;971;847;1110;1021;205;Nein
117;05.01.2020 20:00;68;80;Arbeiter6;1895;2;0;536;518;551;1747;176;1138;843;1856;1662;832;1581;1948;206;Nein
118;05.01.2020 21:00;63;82;Arbeiter6;1250;0;2;1679;1822;1433;282;794;821;1803;1234;1042;1444;897;1798;207;Nein
119;05.01.2020 22:00;66;76;Arbeiter6;1220;0;1;430;1121;1535;582;1409;1443;1564;1357;1527;314;1724;1069;208;Nein
120;05.01.2020 23:00;66;84;Arbeiter6;657;1;2;1896;1589;1040;438;355;266;1638;727;1737;1262;801;1666;209;Nein
121;06.01.2020 00:00;67;81;Arbeiter7;531;0;2;1379;1617;1723;560;1077;1633;1945;961;1361;1343;804;413;210;Nein
122;06.01.2020 01:00;66;78;Arbeiter7;377;1;2;577;663;1204;534;1688;1817;598;880;1789;890;1967;1721;211;Nein
123;06.01.2020 02:00;68;82;Arbeiter7;753;0;0;1570;764;194;492;1106;158;1281;1910;696;1668;633;897;212;Nein
124;06.01.2020 03:00;64;85;Arbeiter7;1829;2;0;1425;234;1909;1832;303;1522;328;910;1818;1247;1526;564;213;Nein
125;06.01.2020 04:00;67;84;Arbeiter7;1570;2;1;1123;1757;803;226;705;581;499;1625;425;165;233;1335;214;Nein
126;06.01.2020 05:00;60;85;Arbeiter7;397;3;2;1765;996;241;190;1827;1012;273;1201;236;963;1903;1184;215;Nein
127;06.01.2020 06:00;66;79;Arbeiter7;1959;0;2;329;1529;292;1410;1164;1131;157;1678;194;1989;1505;485;216;Nein
128;06.01.2020 07:00;64;79;Arbeiter7;504;3;1;229;516;1047;1093;1250;854;893;1272;1662;1033;565;1180;217;Nein
129;06.01.2020 08:00;68;79;Arbeiter2;693;3;1;1813;1440;973;1912;512;699;1284;979;437;447;1783;468;218;Nein
130;06.01.2020 09:00;63;75;Arbeiter2;1124;0;0;589;461;298;605;1753;1685;779;813;1288;1335;174;766;219;Nein
131;06.01.2020 10:00;62;85;Arbeiter2;869;0;2;401;1126;1252;496;781;1976;293;617;958;1099;1861;1765;220;Nein
132;06.01.2020 11:00;68;77;Arbeiter2;697;1;1;1022;1406;1105;685;875;1161;1892;1696;1816;1506;1099;474;221;Nein
133;06.01.2020 12:00;60;79;Arbeiter2;718;2;1;1558;557;1595;998;1666;1292;256;2006;1792;435;1342;1438;222;Nein
134;06.01.2020 13:00;67;77;Arbeiter2;1400;2;0;1628;1415;800;1474;799;1724;1332;414;838;1388;1955;1831;223;Nein
135;06.01.2020 14:00;65;77;Arbeiter2;1623;3;0;1221;701;1207;1386;986;662;1505;757;282;508;895;1229;224;Nein
136;06.01.2020 15:00;67;84;Arbeiter2;1988;0;0;886;1418;323;1595;1527;1124;667;946;1048;330;1479;1995;225;Nein
137;06.01.2020 16:00;62;80;Arbeiter8;1278;0;0;1230;1836;1912;1422;1132;1046;661;576;1684;358;1052;1265;226;Nein
138;06.01.2020 17:00;66;75;Arbeiter8;1650;0;1;915;867;1316;927;1691;1970;1973;1366;1887;825;1705;1395;227;Nein
139;06.01.2020 18:00;62;75;Arbeiter8;329;3;2;1864;676;1705;998;641;497;1989;1184;1669;836;1692;751;228;Nein
140;06.01.2020 19:00;68;85;Arbeiter8;1319;2;0;929;683;687;1584;1085;187;1342;549;1418;1470;1942;448;229;Nein
141;06.01.2020 20:00;62;84;Arbeiter8;542;2;0;1419;1575;605;540;440;1872;1264;1161;266;1359;262;1567;230;Nein
142;06.01.2020 21:00;66;85;Arbeiter8;1889;2;2;214;568;1771;925;2007;926;1074;940;338;666;1844;851;231;Nein
143;06.01.2020 22:00;63;82;Arbeiter8;1947;1;2;411;681;249;326;1565;1483;506;381;669;1881;848;1825;232;Nein
144;06.01.2020 23:00;67;77;Arbeiter8;1067;2;2;942;1693;537;1953;192;851;776;612;1670;1878;1295;335;233;Nein
145;07.01.2020 00:00;65;84;Arbeiter1;333;2;0;707;1297;547;1204;1170;867;583;478;223;1631;964;1351;234;Nein
146;07.01.2020 01:00;66;77;Arbeiter1;1056;0;2;573;1784;1328;1068;1690;569;277;1004;1141;1755;163;369;235;Nein
147;07.01.2020 02:00;61;75;Arbeiter1;586;3;1;1968;929;1322;652;1455;1827;1923;1993;1988;354;1622;1388;236;Nein
148;07.01.2020 03:00;60;82;Arbeiter1;1288;3;1;1988;780;950;1777;472;883;206;1505;1319;1416;1135;414;237;Nein
149;07.01.2020 04:00;63;85;Arbeiter1;1774;0;1;1058;614;1448;985;1487;349;1342;296;787;1323;1865;1414;238;Ja
150;22.01.2020 11:00;71;65;Arbeiter3;576;0;0;1074;1568;483;860;1430;782;1575;568;787;1047;506;1821;367;Ja
151;22.01.2020 12:00;72;67;Arbeiter3;935;3;0;1228;1226;1883;831;853;417;1189;497;697;576;1082;452;1;Ja
152;22.01.2020 13:00;70;68;Arbeiter3;1479;0;1;738;1686;447;1446;1053;1977;1985;1571;2005;1305;457;1566;1;Ja
153;28.01.2020 19:00;66;81;Arbeiter5;1484;2;2;1174;1362;790;718;1987;584;1890;303;1084;1972;1417;953;150;Ja
154;13.02.2020 06:00;65;82;Arbeiter2;1912;2;1;1343;1852;1180;185;482;1153;1565;350;507;320;776;1914;371;Ja
155;15.02.2020 12:00;70;80;Arbeiter3;166;3;1;1869;1871;223;800;1135;598;980;765;1741;1032;1572;825;54;Ja
156;15.02.2020 13:00;72;82;Arbeiter3;1800;0;0;1706;271;165;513;1929;1352;783;819;1982;664;1320;929;1;Ja
157;16.02.2020 09:00;60;80;Arbeiter4;1220;1;2;1205;242;1033;1874;468;1416;1641;1883;945;445;326;325;20;Ja
158;08.03.2020 15:00;71;65;Arbeiter4;1025;1;1;342;1154;912;1400;1814;525;194;493;247;1595;1906;1510;510;Ja
159;08.03.2020 17:00;69;70;Arbeiter6;437;3;0;1303;1926;970;1533;512;551;1412;595;882;1348;1103;283;2;Ja
160;09.03.2020 00:00;67;76;Arbeiter7;177;3;0;1494;1795;1976;1450;669;228;316;1620;1068;275;965;1012;7;Ja
161;17.03.2020 03:00;69;72;Arbeiter2;1550;1;1;1292;167;1432;606;1531;1177;1782;386;815;1873;666;1693;195;Ja
162;17.03.2020 04:00;69;69;Arbeiter2;199;1;2;885;1651;1935;1475;970;1051;1706;1604;968;1312;1307;795;1;Ja
163;17.03.2020 05:00;68;69;Arbeiter2;837;0;1;794;1788;1432;1542;1128;779;1476;554;509;1382;1311;1169;1;Ja
164;17.03.2020 06:00;67;71;Arbeiter2;993;3;2;538;994;1873;772;818;1877;1850;744;1839;929;1109;1652;1;Ja
165;17.03.2020 07:00;67;72;Arbeiter2;1008;2;0;1405;1617;969;827;419;335;1616;852;1960;1540;534;1066;1;Ja
166;17.03.2020 08:00;67;70;Arbeiter4;455;3;0;244;565;1819;1263;1414;1429;271;1445;912;594;1093;1054;1;Ja
167;11.04.2020 01:00;71;69;Arbeiter7;1323;2;2;1339;971;507;1098;1117;1224;170;1033;1107;719;715;1617;593;Ja
168;11.04.2020 02:00;72;72;Arbeiter7;742;2;2;1773;766;1226;1177;1473;785;1798;1232;561;914;1911;1279;1;Ja
169;11.04.2020 04:00;71;73;Arbeiter7;550;2;1;1417;269;724;1873;511;915;1097;796;1692;1117;1906;1159;2;Ja
170;11.04.2020 05:00;72;71;Arbeiter7;1900;0;2;1945;160;715;1519;1274;955;1641;174;1058;1454;904;988;1;Ja
171;27.04.2020 09:00;63;78;Arbeiter3;1188;2;1;875;328;1852;944;2004;1454;1931;952;583;1823;1658;932;388;Ja
172;12.05.2020 02:00;72;72;Arbeiter1;831;2;0;920;1956;1993;1999;220;1926;246;293;602;1645;971;785;353;Ja
173;12.05.2020 04:00;68;71;Arbeiter1;706;1;1;1012;676;1304;723;705;457;742;1060;1233;995;1459;1402;2;Ja
174;12.05.2020 05:00;68;67;Arbeiter1;441;2;1;1715;1805;1688;742;871;1650;1640;295;1767;1710;157;396;1;Ja
175;12.05.2020 06:00;69;69;Arbeiter1;1975;1;1;1702;365;260;1265;254;824;581;432;1546;608;1867;303;1;Ja
176;12.05.2020 07:00;73;72;Arbeiter1;999;0;1;891;608;829;695;398;1019;1090;1487;411;1562;759;602;1;Ja
177;12.05.2020 08:00;71;73;Arbeiter3;595;2;2;1645;837;1910;1085;172;1190;1742;1110;1684;416;1750;1902;1;Ja
178;06.06.2020 05:00;71;71;Arbeiter2;733;1;1;239;1201;207;1216;530;1383;376;485;1609;1441;182;1718;597;Ja
179;06.06.2020 06:00;72;71;Arbeiter2;1370;1;0;1457;1943;1094;579;291;2001;1982;904;1723;1226;1888;666;1;Ja
180;06.06.2020 07:00;71;73;Arbeiter2;970;0;0;219;1214;1002;1891;1524;1141;770;1655;972;505;1103;244;1;Ja
181;25.06.2020 00:00;62;81;Arbeiter7;784;2;2;886;1645;1360;1008;887;697;479;1877;522;1529;858;1973;449;Ja
182;25.06.2020 01:00;66;90;Arbeiter7;854;0;1;528;1373;1240;1330;1989;1348;1686;411;1689;1353;934;213;1;Nein
183;25.06.2020 02:00;60;84;Arbeiter7;585;2;1;1909;956;1541;298;1789;1371;1666;1594;1045;252;1807;876;2;Nein
184;25.06.2020 03:00;66;82;Arbeiter7;1243;1;2;590;1520;1979;1551;1226;872;2005;725;470;1749;1969;1330;3;Nein
185;25.06.2020 04:00;66;91;Arbeiter7;1581;2;1;645;1815;1533;766;1302;1194;429;1923;1382;427;175;1184;4;Nein
186;25.06.2020 05:00;67;91;Arbeiter7;1415;0;1;1276;294;204;1877;458;1909;156;1094;1951;1425;520;1528;5;Nein
187;25.06.2020 06:00;60;92;Arbeiter7;302;1;1;231;956;250;261;1320;1814;1642;687;1454;892;776;1741;6;Nein
188;25.06.2020 07:00;64;81;Arbeiter7;284;3;2;873;418;1858;1604;952;1225;498;1644;986;252;1034;1326;7;Nein
189;25.06.2020 08:00;61;89;Arbeiter2;807;0;1;1116;1282;1982;407;1212;1219;219;1295;645;1977;1406;1881;8;Nein
190;25.06.2020 09:00;67;91;Arbeiter2;615;3;2;620;587;191;805;1637;1745;291;1667;1961;1142;185;1786;9;Nein
191;25.06.2020 10:00;62;86;Arbeiter2;1463;1;0;1873;848;450;1727;1738;214;562;174;1751;1030;1343;1811;10;Nein
192;25.06.2020 11:00;60;86;Arbeiter2;1292;1;1;1035;1677;1780;394;1197;1878;626;1165;1947;370;766;1522;11;Nein
193;25.06.2020 12:00;66;88;Arbeiter2;1955;2;2;1342;1494;893;831;550;990;1775;1423;441;620;884;1240;12;Nein
194;25.06.2020 13:00;63;93;Arbeiter2;1696;0;2;973;690;271;1574;1708;698;1437;247;631;492;1795;1913;13;Nein
195;25.06.2020 14:00;65;89;Arbeiter2;1207;2;0;1079;1730;1291;1031;1214;231;1862;1656;1783;315;348;162;14;Nein
196;25.06.2020 15:00;66;92;Arbeiter2;976;1;1;1031;346;1473;1504;891;511;361;542;162;1689;237;1587;15;Nein
197;25.06.2020 16:00;67;88;Arbeiter8;818;3;1;794;466;1975;1907;215;1307;1474;1615;1442;1514;529;867;16;Nein
198;25.06.2020 17:00;67;84;Arbeiter8;1831;1;2;926;1740;696;246;1493;1736;1730;1048;242;826;879;252;17;Nein
199;25.06.2020 18:00;63;81;Arbeiter8;2010;3;2;355;1016;535;769;436;908;764;1384;1494;1781;939;1479;18;Nein
200;25.06.2020 19:00;66;89;Arbeiter8;1231;0;2;1584;253;1384;1648;1959;1815;600;302;932;1385;1461;1409;19;Nein
